Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,"390,470,936","30,716","196,631,588",92,"84,274,754","1,713,126","5,767,700","651,565,900","5,332,281,936","150,597,040",210,"40,975",684,62,"17,598,718",114,"18,004,655","22,931","4,818,457","2,669,262",,0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,"323,703,884","28,113","174,597,137",92,"116,347,040","3,486,739","674,7","35,223,547","208,339,025","156,380,351",188,"40,778",3,67,"10,422,430",111,"7,780,028","28,444","6,623,075","1,118,279",,1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,"601,309,283","54,331","211,607,669",92,"122,599,116","2,228,730","3,025,400","275,154,237","3,369,120,610","373,784,955",190,"74,333",536,136,"36,321,847",172,"5,022,621","5,639","7,208,651","5,285,340",,0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394,"1,474,799","2,182",264,"24,684,248",210,"190,260,277","203,384",,"11,822,942",,0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,"107,034,922","7,223","151,469,874",88,"77,373,957","3,670,188","16,4",,,"112,763,851",182,"12,185",1,82,"17,660,624",105,"4,493,884","7,006","207,179","457,017",,1
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,"670,665,438","105,892","175,421,034",83,"131,148,091","1,392,593","4,202,367","214,943,489","2,938,686,633","2,867,222,632",138,"522,042","4,654",86,"17,167,254",152,"138,529,362","50,982","9,438,601","4,517,131",,1
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,"900,158,751","73,118","201,585,714",86,"308,723,145","4,120,760",,"29,584,940","534,915,313","4,601,579,812",280,"383,478",429,168,"48,197,850",154,"65,447,476","57,372",,"9,990,302",,0
Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,"675,079,153","40,094","211,236,940",92,"228,382,568","1,439,495","3,500,000","338,546,668","3,804,584,163","2,112,581,620",160,"17,221",30,87,"33,245,595",53,"3,372,428","5,762",,"6,063,523",,1
Danza Kuduro - Cover,��������������������� - ������������������ -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,"1,653,018,119",1,15,,,,,,,,,,,,,,,,,,,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,"90,676,573","10,4","184,199,419",86,"32,735,244","988,682","325,8","121,574,500","974,656,200","174,706,874",191,"3,823",117,78,"10,800,098",92,"1,005,626",842,"3,679,709","666,302",,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,"250,080,413","16,219","168,766,158",91,"32,229,063","550,191",,"184,5","2,100,000","327,130,768",157,"62,312",71,60,"12,009,073",114,"23,155,471","21,172","1,594,605","963,413",,1
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320.2,"111,155,129",2,"263,767",,,,,,,,,,,,,2,,,,,,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,"221,636,195","13,8","197,280,692",92,"40,022,524","1,307,290","195,3","45,889,000","360,017,000","342,107,131",244,"41,344",45,138,"38,243,636",163,"1,354,692","1,219","1,313,357","450,344",,0
